Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V1000_D0.500000,1000,249750,0.5,COMPLETED,Kruskal,17.6299,3904,1230.95
V1000_D0.500000,1000,249750,0.5,COMPLETED,Prim_BinaryHeap,2.4492,176,1230.95
V1000_D0.500000,1000,249750,0.5,COMPLETED,KKT,81.345,5352,1230.95
V1000_D0.500000,1000,249750,0.5,COMPLETED,Boruvka_Parallel_2threads,15.2101,0,1230.95
V1000_D0.500000,1000,249750,0.5,COMPLETED,Boruvka_Parallel_4threads,15.8449,0,1230.95
V1000_D1.000000,1000,999,1,COMPLETED,Kruskal,0.0689,0,49004.7
V1000_D1.000000,1000,999,1,COMPLETED,Prim_BinaryHeap,0.0699,0,49004.7
V1000_D1.000000,1000,999,1,COMPLETED,KKT,0.5768,164,49004.7
V1000_D1.000000,1000,999,1,COMPLETED,Boruvka_Parallel_2threads,0.9982,0,49004.7
V1000_D1.000000,1000,999,1,COMPLETED,Boruvka_Parallel_4threads,1.6833,0,49004.7
V1000_D2.000000,1000,1000,2,COMPLETED,Kruskal,0.0749,12,48907.1
V1000_D2.000000,1000,1000,2,COMPLETED,Prim_BinaryHeap,0.1157,18446744073709551580,48907.1
V1000_D2.000000,1000,1000,2,COMPLETED,KKT,0.5985,84,48907.1
V1000_D2.000000,1000,1000,2,COMPLETED,Boruvka_Parallel_2threads,0.8833,0,48907.1
V1000_D2.000000,1000,1000,2,COMPLETED,Boruvka_Parallel_4threads,1.349,0,48907.1
V1000_D5.000000,1000,2500,5,COMPLETED,Kruskal,0.1671,0,24645.6
V1000_D5.000000,1000,2500,5,COMPLETED,Prim_BinaryHeap,0.1984,0,24645.6
V1000_D5.000000,1000,2500,5,COMPLETED,KKT,1.9077,288,24645.6
V1000_D5.000000,1000,2500,5,COMPLETED,Boruvka_Parallel_2threads,0.9248,0,24645.6
V1000_D5.000000,1000,2500,5,COMPLETED,Boruvka_Parallel_4threads,1.2441,0,24645.6
V1000_D10.000000,1000,5000,10,COMPLETED,Kruskal,0.3198,0,12636
V1000_D10.000000,1000,5000,10,COMPLETED,Prim_BinaryHeap,0.309,0,12636
V1000_D10.000000,1000,5000,10,COMPLETED,KKT,3.8304,504,12636
V1000_D10.000000,1000,5000,10,COMPLETED,Boruvka_Parallel_2threads,1.1564,28,12636
V1000_D10.000000,1000,5000,10,COMPLETED,Boruvka_Parallel_4threads,1.1101,0,12636
V1000_D20.000000,1000,10000,20,COMPLETED,Kruskal,0.6521,156,6935.68
V1000_D20.000000,1000,10000,20,COMPLETED,Prim_BinaryHeap,0.4433,40,6935.68
V1000_D20.000000,1000,10000,20,COMPLETED,KKT,6.8952,104,6935.68
V1000_D20.000000,1000,10000,20,COMPLETED,Boruvka_Parallel_2threads,1.3856,32,6935.68
V1000_D20.000000,1000,10000,20,COMPLETED,Boruvka_Parallel_4threads,1.2511,0,6935.68
V2000_D0.010000,2000,19990,0.01,COMPLETED,Kruskal,1.3871,344,13640.7
V2000_D0.010000,2000,19990,0.01,COMPLETED,Prim_BinaryHeap,0.921,84,13640.7
V2000_D0.010000,2000,19990,0.01,COMPLETED,KKT,17.295,132,13640.7
V2000_D0.010000,2000,19990,0.01,COMPLETED,Boruvka_Parallel_2threads,2.6596,68,13640.7
V2000_D0.010000,2000,19990,0.01,COMPLETED,Boruvka_Parallel_4threads,2.1854,0,13639.5
V2000_D0.020000,2000,39980,0.02,COMPLETED,Kruskal,2.6425,652,7851.28
V2000_D0.020000,2000,39980,0.02,COMPLETED,Prim_BinaryHeap,1.2166,168,7851.28
V2000_D0.020000,2000,39980,0.02,COMPLETED,KKT,27.6829,936,7851.28
V2000_D0.020000,2000,39980,0.02,COMPLETED,Boruvka_Parallel_2threads,4.1228,64,7851.28
V2000_D0.020000,2000,39980,0.02,COMPLETED,Boruvka_Parallel_4threads,3.8685,0,7851.28
V2000_D0.050000,2000,99950,0.05,COMPLETED,Kruskal,6.6697,1596,4390.98
V2000_D0.050000,2000,99950,0.05,COMPLETED,Prim_BinaryHeap,1.776,184,4390.98
V2000_D0.050000,2000,99950,0.05,COMPLETED,KKT,54.4524,3100,4390.98
V2000_D0.050000,2000,99950,0.05,COMPLETED,Boruvka_Parallel_2threads,6.6319,56,4390.98
V2000_D0.050000,2000,99950,0.05,COMPLETED,Boruvka_Parallel_4threads,7.6501,0,4390.98
V2000_D0.100000,2000,199900,0.1,COMPLETED,Kruskal,14.4599,3156,3219.02
V2000_D0.100000,2000,199900,0.1,COMPLETED,Prim_BinaryHeap,2.9329,280,3219.02
V2000_D0.100000,2000,199900,0.1,COMPLETED,KKT,104.463,5324,3219.02
V2000_D0.100000,2000,199900,0.1,COMPLETED,Boruvka_Parallel_2threads,13.3077,48,3219.02
V2000_D0.100000,2000,199900,0.1,COMPLETED,Boruvka_Parallel_4threads,12.5445,0,3219.02
V2000_D0.200000,2000,399800,0.2,COMPLETED,Kruskal,25.7721,6284,2601.22
V2000_D0.200000,2000,399800,0.2,COMPLETED,Prim_BinaryHeap,4.8759,364,2601.22
